Thoigian,Linh_vuc,Chuyen_muc,Dia_diem,Muc_do,Nguon_tin,Tin_bai,Tom_tat_noi_dung
8/12/2023,đất đai,"thực trạng, sai phạm",Hải Dương,2,Tin tức,"Hải Dương: Chất vấn nhiều vấn đề 'nóng' về y tế, quản lý tài nguyên môi trường. ",vấn đề cấp giấy chứng nhận quyền sử dụng đất vẫn là nội dung được nhiều cử tri quan tâm và tiếp tục được đại biểu HĐND tỉnh nêu tại kỳ họp
8/12/2023,đất đai,"thực trạng, sai phạm",Bình Dương,4,Lao Động, Nguyên nhân chậm cấp 445 sổ đỏ tại khu dân cư Việt Sing ,"Kỳ họp thứ 13 HĐND tỉnh Bình Dương, nhiều cử tri phản ánh, khi mua nhà đất đã thanh toán 95% giá trị hợp đồng, nhưng đến bây giờ vẫn chưa nhận được giấy chứng quyền sở hữu nhà và giấy chứng nhận quyền sử dụng đất "
8/12/2023,đất đai,"thực trạng, sai phạm",Hà Tĩnh ,2,"Tiền phong, ","Hơn 15.500 trường hợp cấp đất, cho thuê đất sai thẩm quyền tại Hà Tĩnh",phiên chất vấn kỳ họp thứ 17 HĐND tỉnh Hà Tĩnh 
8/12/2023,đất đai,"thực trạng, sai phạm",Hà Tĩnh ,2,Lao Động,"Vướng mắc trong xử lý đất cấp, cho thuê trái thẩm quyền",phiên chất vấn kỳ họp thứ 17 HĐND tỉnh Hà Tĩnh 
8/12/2023,đất đai,"thực trạng, sai phạm",Nghệ An,2,Kinh tế & Đô thị,"Nghệ An: ""Nóng"" chuyện đất nông, lâm trường trong kỳ họp HĐND tỉnh (","12 đại biểu đặt câu hỏi liên quan đến về Công tác quản lý, hiệu quả sử dụng đất đai có nguồn gốc từ các nông, lâm trường quốc doan"
8/12/2023,đất đai,"thực trạng, sai phạm",Nghệ An,2,Người Đưa Tin,"Nhiều hạn chế trong quản lý sử dụng đất các nông, lâm trường. ","12 đại biểu đặt câu hỏi liên quan đến về Công tác quản lý, hiệu quả sử dụng đất đai có nguồn gốc từ các nông, lâm trường quốc doan"
8/12/2023,đất đai,"thực trạng, sai phạm",Nghệ An,2,Dân trí ,"Có ""phát canh thu tô"" trong sử dụng đất nông, lâm trường ở Nghệ An. G",Ông Hoàng Quốc Việt - Giám đốc Sở Tài nguyên và Môi trường (TN&MT) Nghệ An - thừa nhận 
8/12/2023,đất đai,"thực trạng, sai phạm",Khánh Hoà ,2,Tuổi trẻ ,"Khánh Hòa cấp đất tái định cư chỉ bằng 0,8% tổng diện tích đất thu hồi của dân (918,16ha). ","HĐND tỉnh Khánh Hoà đã báo cáo giám sát về kết quả thực hiện chính sách bồi thường, hỗ trợ, tái định cư khi thu hồi đất (từ năm 2021 – 2023). "
8/12/2023,đất đai,"thực trạng, sai phạm",TP HCM ,2,Dân Việt ,"Chủ tịch TP.HCM bị chất vấn về khu ""đất vàng"" bị bỏ hoang 13 năm",kỳ họp 13 HĐND TP.HCM khoá X
8/12/2023,đất đai,"thực trạng, sai phạm",TP HCM ,4,VnExpress,Chủ tịch TP HCM: Nhìn 'đất vàng' bỏ không tôi cũng rất khó chịu,kỳ họp 13 HĐND TP.HCM khoá X
8/12/2023,đất đai,"thực trạng, sai phạm",TP HCM ,4,"Giao thông, Pháp luật TP.HCM ",63 hộ dân ảnh hưởng dự án cải tạo kênh Tham Lương tâm tư vì thuộc diện bồi thường...0 đồng.,kỳ họp 13 HĐND TP.HCM khoá X
8/12/2023,đất đai,"thực trạng, sai phạm",Hà Nội ,4,(Pháp luật TP.HCM,HĐND TP Hà Nội chất vấn về dự án 'đất vàng' ở 148 Giảng Võ ,phiên chất vấn của HĐND TP Hà Nộ
8/12/2023,đất đai,"chính sách, quản lý",Hà Nội ,4,VietNamNet,Hà Nội điều chỉnh tổng thể dự án đất vàng 148 Giảng Võ. ,phiên chất vấn của HĐND TP Hà Nộ
8/12/2023,môi trường,"thực trạng, sai phạm",Hà Nội ,2,VietNamPlu,"Vấn đề thoát nước, xử lý chất thải làm ""nóng"" nghị trường HĐND thành phố Hà Nội. ","xử lý chất thải làm ""nóng"" nghị trường HĐND thành phố Hà Nộ"
8/12/2023,môi trường,"thực trạng, sai phạm",Hà Nội ,4,Tiền phong,"Hà Nội: Xử lý 712 dự án chậm triển khai, nhiều dự án xử lý nước thải và thoát nước chậm tiến độ (","xử lý chất thải làm ""nóng"" nghị trường HĐND thành phố Hà Nộ"
8/12/2023,môi trường,"chính sách, quản lý",Hà Nội ,4,"Lao Động, Kinh tế & Đô thị",Lý do 8 dự án môi trường 15.000 tỉ đồng của Hà Nội chậm tiến độ ,"xử lý chất thải làm ""nóng"" nghị trường HĐND thành phố Hà Nộ"
8/12/2023,đất đai,"chính sách, quản lý","Thái Bình, Nam Định, Ninh Bình ",4,Người lao động. ,"Nghiên cứu lấn biển để tạo không gian phát triển, quỹ đất mới.","phát biểu tại Hội nghị lần thứ hai Hội đồng điều phối vùng Đồng bằng sông Hồng với chủ đề về quy hoạch vùng ĐBSH thời kỳ 2021-2030, tầm nhìn đến năm 2050, Thủ tướng cho rằng"
8/12/2023,đất đai,"chính sách, quản lý",đồng bằng sông Hồng,4,Nhân Dân,Sử dụng hiệu quả đất bãi sông. ,Hội nghị lần thứ hai Hội đồng điều phối vùng Đồng bằng sông Hồng với chủ đề về quy hoạch vùng ĐBSH 
8/12/2023,đất đai,"thực trạng, sai phạm",Thừa Thiên – Huế ,2,"Xây dựng, ",Dự án nhà ở thương mại bị “treo” Giấy chứng nhận quyền sử dụng đất ở Thừa Thiên – Huế: Loay hoay tìm hướng tháo gỡ.,"Sở TN&MT kiến nghị UBND tỉnh làm việc với Bộ Tài chính, Bộ TN&MT để cho phép tính toán áp dụng nghĩa vụ tài chính mà nhà đầu tư đã thực hiện đối với Nhà nước, theo thông báo của cơ quan Thuế là đã thực hiện nghĩa vụ tài chính; không bị điều chỉnh bởi thời điểm quyết định giao đất để đảm bảo quyền lợi cho các bên liên quan. "
8/12/2023,đất đai,"chính sách, quản lý",Quảng Nam,4,Tuổi trẻ ,Nhiều địa phương Quảng Nam đề xuất tăng giá đất ở 50-100%. ,"Theo Sở TN&MT tỉnh Quảng Nam, khi lấy ý kiến sửa đổi, bổ sung quy định giá đất, bảng giá đất thời kỳ 2020-2024, hàng loạt địa phương đều đề xuất tăng giá đất ở. "
8/12/2023,đất đai,"chính sách, quản lý",Kiên Giang ,4,Tuổi trẻ,Giám đốc Sở Tài nguyên và Môi trường nói gì về việc bao chiếm đất công ở Kiên Giang? ,ông Phùng Quốc Bình - giám đốc Sở TN&MT Kiên Giang 
8/12/2023,đất đai,"chính sách, quản lý",TP.HCM,4,Thanh niên,Văn phòng đăng ký đất đai sẽ cấp sổ hồng cho cư dân chung cư Lexington Residence. ,"vụ xét xử sơ thẩm vụ án hành chính bà Nguyễn Vinh Trang (47 tuổi, cư dân chung cư Lexington Residence, TP.Thủ Đức"
8/12/2023,đất đai,"chính sách, quản lý",Lâm Đồng) ,4,Tin tức ,Hủy bỏ 213 Thông báo thu hồi đất vì 'dự án treo' ,UBND thành phố Đà Lạt (Lâm Đồng) vừa ra Thông báo về việc Hủy bỏ 213 Thông báo thu hồi đất vì 'dự án treo' trên địa bàn thành phố Đà Lạt. 
8/12/2023,đất đai,"kiến nghị, xử lý",Lâm Đồng) ,4,*Lao Động ,Lâm Đồng đề xuất giảm tiền thuê đất cho doanh nghiệp tại Khu công nghiệp.,ông Võ Ngọc Hiệp - Phó Chủ tịch UBND tỉnh Lâm Đồng đã ký văn bản gửi Bộ Tài chính về việc giảm tiền thuê đất cho các doanh nghiệp tại Khu công nghiệp Lộc Sơn và Khu công nghiệp Phú Hội bị 
8/12/2023,đất đai,"kiến nghị, xử lý",Khánh Hò,4,Lao Động. ,"Rà soát chấm dứt hoạt động, thu hồi dự án ""xí"" đất vàng ven biển Nha Trang -","UBND tỉnh Khánh Hòa đã nhận được kiến nghị của Sở Kế hoạch và Đầu tư về việc sẽ giao Sở Tài nguyên và Môi trường tham mưu Rà soát chấm dứt hoạt động, thu hồi dự án ""xí"" đất vàng ven biển Nha Trang - Dự án Tổ hợp khách sạn du lịch, căn hộ du lịch, bán và cho thuê Trimet Nha Trang - Bay View Park "
8/12/2023,đất đai,"thực trạng, sai phạm",Đồng nai,4,VietNamPlus ,Mở rộng điều tra vụ án liên quan đến thu hồi đất Sân bay Long Thành.,"vụ án “nhận hối lộ” và “lừa đảo chiếm đoạt tài sản” liên quan đến Dự án Thu hồi đất, Bồi thường, Hỗ trợ tái định cư Cảng Hàng không Quốc tế Long Thành, Cơ quan Cảnh sát Điều tra Công an tỉnh Đồng Nai thi hành"
8/12/2023,đất đai,"thực trạng, sai phạm",Bà Rịa – Vũng Tàu:,2,Xây dựng ,Bà Rịa – Vũng Tàu: Người dân khổ sở vì quy hoạch “treo”,Xây dựng 
8/12/2023,đất đai,"thực trạng, sai phạm",TP.HCM ,2,Đầu tư ,"Vụ ""bốc hơi"" gần 6.300 m2 đất: Công an TP.HCM bắt giam ông Đinh Trường Chinh và Huỳnh Thế Năng. C","vụ án “Vi phạm quy định về quản lý, sử dụng tài sản Nhà nước gây thất thoát, lãng phí” xảy ra tại Tổng công ty Lương thực miền Nam (Vinafood 2). "
8/12/2023,đất đai,"thực trạng, sai phạm",Hà Nội,2,"Hà Nội mới, ",* Nhiều khó khăn trong đấu giá quyền sử dụng đất ở Thanh Oai. ,"Giám đốc Trung tâm Phát triển quỹ đất huyện Thanh Oai Nguyễn Công Quảng cho biết do thị trường bất động sản đóng băng, công tác đấu giá đất gặp khó khăn. "
8/12/2023,đất đai,"thực trạng, sai phạm",Hà Nội,2,Hà Nội mớ,Nhiều khó khăn trong quản lý đất nông nghiệp công ích ở Sơn Tây. ,"Cũng như nhiều địa phương trên địa bàn thành phố Hà Nội, việc quản lý, sử dụng quỹ đất nông nghiệp công ích của thị xã Sơn Tây đang cho thấy tính hiệu quả không cao"
8/12/2023,đất đai,"thực trạng, sai phạm",Nghệ An ,2,Diễn đàn doanh nghiệp,Nghệ An: Chủ đầu tư “bỏ quên” hàng nghìn m2 “đất vàng” ở thị xã Cửa Lò? ,"hơn 7 năm kể từ ngày được chấp thuận chủ trương đầu tư, dự án Trung tâm thương mại Tân Thắng ở phường Nghi Thu, TX Cửa Lò hiện vẫn “nằm im trên giấy”, chưa hẹn ngày hoàn thành"
8/12/2023,đất đai,"thực trạng, sai phạm",Hà Tĩnh,2,báo Công luận,Lộc Hà (Hà Tĩnh): “Dài cổ” chờ kết luận thanh tra vụ xã cho thuê đất trái thẩm quyền ở Thạch Mỹ. ,"Đoàn thanh tra của UBND huyện Lộc Hà (Hà Tĩnh) về làm việc và kết thúc thanh tra việc giao đất, cho thuê đất trái thẩm quyền tại xã Thạch Mỹ đã 7 tháng, nhưng đến nay người dân vẫn “dài cổ” chờ kết luận thanh tra"
8/12/2023,đất đai,"thực trạng, sai phạm",Bình Định ,2,"Đầu tư, ",Bình Định thu tiền sử dụng đất chưa đạt mục tiêu đề ra.,tỉnh Bình Định mới thu được 2.600 tỷ đồng tiền sử dụng đất so với kế hoạch được giao là 3.040 tỷ đồng
8/12/2023,nước,"chính sách, quản lý",toàn quốc,4,VietNamPlus),Việt Nam tham dự Hội nghị Bộ trưởng Ngoại giao Hợp tác Mekong-Lan Thương.,Việt Nam tham dự Hội nghị Bộ trưởng Ngoại giao Hợp tác Mekong-Lan Thương.
8/12/2023,nước,"chính sách, quản lý",toàn quốc,4,Tiền phong,Việt Nam đề xuất 4 nhóm ưu tiên cho hợp tác Mekong – Lan Thương,Việt Nam đề xuất 4 nhóm ưu tiên cho hợp tác Mekong – Lan Thương
8/12/2023,nước,"thực trạng, sai phạm",Các địa phương ven sông Hồng ,4,VTV,Việt Nam đề xuất 4 nhóm ưu tiên cho hợp tác Mekong – Lan Thương,Các địa phương ven sông Hồng đang hứng chịu những hậu quả trực tiếp khi lòng dẫn dòng sông bị biến dạng bởi hoạt động khai thác cát
8/12/2023,nước,"thực trạng, sai phạm",Quảng Bình:,3,VietNamPlus,Quảng Bình: Hơn 600 người dân ở xã Mỹ Trạch tiếp cận với nguồn nước sạch.,"thông qua 22 dự án, chương trình “Khơi nguồn nước sạch vì miền Trung yêu thương"" đã giúp gần 33.000 người thuộc hơn 8.500 hộ gia đình tại miền Trung tiếp cận với nguồn nước sạch."
8/12/2023,môi trường,"chính sách, quản lý",Quảng Ninh,4,Dân trí,không làm ảnh hưởng vịnh Bái Tử Long,"Bộ Tài nguyên và Môi trường vừa cấp phép cho Công ty Nhiệt điện Cẩm Phả - TKV (phường Cẩm Thịnh, TP Cẩm Phả, Quảng Ninh) "
8/12/2023,môi trường,"chính sách, quản lý",toàn quốc,4,Kinh tế & Đô thị ,"Tiếp tục giảm thuế bảo vệ môi trường xăng, dầu: Giải pháp tình thế phù hợp","Chính phủ vừa có tờ trình gửi Ủy ban Thường vụ Quốc hội, đề nghị kéo dài chính sách giảm 50% thuế bảo vệ môi trường (BVMT) với xăng, dầu tới hết năm 2024. "
8/12/2023,môi trường,"chính sách, quản lý",TP.HCM,4,Pháp luật TP.HCM,Hàng trăm giải thưởng cho các doanh nghiệp xanh ,phát động chương trình hành trình xanh Asean green Awards 2023
8/12/2023,môi trường,"thực trạng, sai phạm",toàn quốc,2,* VTV ,Nhiều nhà máy xử lý rác chậm tiến độ.,"Theo Luật Bảo vệ môi trường, chỉ còn 1 năm nữa, cả nước sẽ bắt buộc phân loại rác tại nguồn. Việc chuẩn bị hạ tầng kỹ thuật nhằm đáp ứng các yêu cầu phân loại, vận chuyển, xử lý, tái chế rác, trong đó có đầu tư xây dựng các nhà máy đốt rác đang rất cấp thiết. "
8/12/2023,môi trường,"chính sách, quản lý",Bắc Giang ,2,Lao Động ,"Trách nhiệm trong việc 13 cụm công nghiệp ở Bắc Giang chưa có khu xử lý nước thải,","ông Ngô Văn Xuyên - Phó Giám đốc Sở TN&MT Bắc Giang cho biết trong 13 cụm công nghiệp chưa có khu xử lý nước thải tập, có 7 cụm công nghiệp do UBND cấp huyện làm chủ đầu tư."
8/12/2023,môi trường,"thực trạng, sai phạm",Long A,2,Sài Gòn Giải phóng,Long An: Tràn ngập rác thải quanh các khu công nghiệp ở huyện Đức Hòa,"lực lượng chức năng huyện Đức Hòa (Long An) đã lắp camera, mật phục để bắt quả tang, ""phạt nguội"" người dân đổ rác ra khu vực quanh Khu công nghiệp Đức Hòa 3 (huyện Đức Hòa)"
8/12/2023,môi trường,"thực trạng, sai phạm",Miền Bắc,2,Dân trí,"Miền Bắc sương mù, ô nhiễm không khí trở lại. ",Hà Nội có thể ô nhiễm không khí trở lại.
8/12/2023,địa chất - khoáng sản,"chính sách, quản lý","Bộ TN&MT, An Giang ",4,Người lao động,An Giang không thể hỗ trợ cát san lấp cho dự án đường Vành đai 3.,"UBND tỉnh An Giang Nguyễn Thị Minh Thúy đã ký văn bản gửi Bộ TN&MT về việc cung ứng cát san lấp phục vụ dự án đường Vành đai 3, TP HCM."
8/12/2023,KTTV -BĐKH,thông tin khác ,toàn quốc,4,(Sức khỏe & Đời sống,"Vận hành tín chỉ carbon, doanh nghiệp đua giảm phát thải, người trồng rừng hưởng lợi. ",Bộ Lao động Thương bình và Xã hội đã có cuộc họp với các bên về vấn đề đào tạo nhân lực cho phát triển thị trường tín chỉ carbon Việt Nam. 
8/12/2023,KTTV -BĐKH,thông tin khác ,Đà Nẵng ,2,Lao Động ,"Đà Nẵng thiệt hại hơn 10.000 tỉ đồng do thiên tai, biến đổi khí hậu trong 25 năm qua.","thành phố còn có nguy cơ đối mặt với một số loại hình thiên tai nguy hiểm khác như sạt lở đất đá đồi núi, ngập úng lớn khu vực đô thị./."
8/12/2023,KTTV -BĐKH,thông tin khác ,Đà Nẵng ,4,Lao Động ,Hơn 600 tỉ đồng được vận động để phòng chống thiên tai. H,"thành phố còn có nguy cơ đối mặt với một số loại hình thiên tai nguy hiểm khác như sạt lở đất đá đồi núi, ngập úng lớn khu vực đô thị./."
11/12/2023,đất đai,"chính sách, quản lý",TP.HCM,4,"Pháp luật TP.HCM, Thời báo kinh tế Sài Gòn,","Năm 2024, TP.HCM giữ nguyên hệ số điều chỉnh giá đất như năm 2023","chiều 8.12, tại kỳ họp cuối năm, HĐND TP.HCM thống nhất"
11/12/2023,đất đai,"chính sách, quản lý",TP.HCM,4,"Thanh Niên,",TP.HCM không tăng hệ số điều chỉnh giá đất.,"việc TP.HCM giữ nguyên hệ số điều chỉnh giá đất từ 2,5 - 3,5 lần trong năm 2024 nhằm tạo điều kiện cho các doanh nghiệp và người dân ổn định sản xuất, kinh doanh."
11/12/2023,đất đai,"chính sách, quản lý",Hải Phòng,4,VietNamNet,Hải Phòng miễn phí làm sổ đỏ từ năm 2024.,"sáng 8/12, tại kỳ họp thứ 13, HĐND TP Hải Phòng đã thông qua nghị quyết miễn, giảm một số phí, lệ phí khi thực hiện dịch vụ hành chính công trực tuyến. TP Hải Phòng sẽ được sẽ miễn lệ phí cấp giấy chứng nhận quyền sử dụng đất (sổ đỏ), quyền sở hữu nhà ở và tài sản khác gắn liền trên đất và giảm nhiều phí khác, từ năm 2024."
11/12/2023,đất đai,"chính sách, quản lý",Bình Dương,4,Dân trí,Chủ tịch Bình Dương: Muôn vàn lý do khiến nhiều dự án không ra được sổ cho dân.,"sáng 8/12, HĐND tỉnh Bình Dương khóa X, nhiệm kỳ 2021-2026 tiếp tục diễn ra phiên chất vấn, trả lời chất vấn và bế mạc kỳ họp thứ 13, kỳ họp thường lệ cuối năm 2023. Theo Chủ tịch UBND tỉnh Bình Dương, nhà đầu tư có sổ nhưng đã thế chấp ngân hàng không mang ra để cấp sổ; nhà đầu tư không có sổ là do chưa bồi thường xong sẽ không ra được sổ..."
11/12/2023,đất đai,"chính sách, quản lý",Quảng Ngãi,4,"Sài Gòn Giải phóng,","Nhiều dự án ở Quảng Ngãi chậm tiến độ, quy hoạch treo khiến cử tri bức xúc.","ngày 8-12, tại Kỳ họp thứ 20, HĐND tỉnh Quảng Ngãi khóa XIII tiến hành phiên chất vấn và trả lời chất vấn về các dự án chậm tiến độ, quy hoạch treo tồn tại nhiều năm qua.  Ông Đặng Văn Minh, Chủ tịch UBND tỉnh Quảng Ngãi trả lời thẳng thắn, những dự án chậm trễ là những dự án cũ, của thời kỳ trước, đã kéo dài qua nhiều năm, nên việc giải quyết không dễ. Việc chưa được giải quyết dứt điểm sự tồn tại của các dự án này, có một phần trách nhiệm của người đứng đầu chính quyền tỉnh. Ông Minh thẳng thắn nhận trách nhiệm và sẽ tập trung chỉ đạo giải quyết trong thời gian tới"
11/12/2023,đất đai,"chính sách, quản lý",Bà Rịa - Vũng Tàu,4,Pháp luật TP.HCM,Vì sao hủy 2 nghị quyết về quy hoạch Vườn thú hoang dã Safari và lâm viên Núi Dinh?,"kỳ họp thứ 17 HĐND tỉnh Bà Rịa- Vũng Tàu khóa VII, nhiệm kỳ 2021-2026 thông qua 2 nghị quyết hủy 2 nghị quyết năm 2021 về thông qua đồ án, nhiệm vụ quy hoạch phân khu hai dự án Vườn thú hoang dã Safari và Lâm viên Núi Dinh. Trong các nguyên nhân có nguyên nhân do việc lập quy hoạch xây dựng dự án trên là chưa phù hợp với quy định của Luật Xây dựng, do phạm vi quy hoạch (còn đất rừng) tại Nghị quyết số 69 chưa đúng Luật Lâm Nghiệp."
11/12/2023,đất đai,"chính sách, quản lý",Hà Nội,4,Giao thông,Hà Nội tách giải phóng mặt bằng cầu Thượng Cát thành dự án độc lập,"Sáng 8/12, tại kỳ họp thứ 14, HĐND thành phố Hà Nội đã thông qua Nghị quyết phê duyệt chủ trương đầu tư, phê duyệt điều chỉnh chủ trương đầu tư một số dự án vốn đầu tư công của thành phố."
11/12/2023,đất đai,"chính sách, quản lý",Hà Nội,4,Diễn đàn doanh nghiệp,“Đỏ mắt” chờ sổ hồng.,"báo cáo của Bộ Xây dựng cho biết trong tổng số 108 dự án có tranh chấp trên địa bàn Hà Nội, có 11 dự án (chiếm khoảng 10%) liên quan tới việc chủ đầu tư chậm làm thủ tục cấp sổ hồng cho cư dân."
11/12/2023,đất đai,"chính sách, quản lý",Thừa Thiên - Huế,4,"Người lao động, Tuổi trẻ","Huế đấu giá khu đất vàng, giá khởi điểm gần 231 tỉ.","UBND tỉnh Thừa Thiên - Huế cho biết đã đưa vào kế hoạch đấu giá 2 khu đất ""vàng"" nhằm kêu gọi đầu tư xây dựng hạ tầng phục vụ du lịch, nghỉ dưỡng cao cấp. Hai khu đất đấu giá bao gồm  khu đất số 5 đường Lê Lợi nằm cạnh sông Hương, giá khởi điểm giá khởi điểm cho thuê quyền sử dụng đất gần 823,9 triệu đồng/năm (chưa bao gồm các loại thuế, phí khác theo quy định); và khu đất ở số 8-10 đường Phan Bội Châu và số 19 đường Nguyễn Huệ (TP Huế), giá khởi điểm gần 231 tỉ đồng."
11/12/2023,đất đai,"chính sách, quản lý",Vĩnh Phúc,4,Đại biểu nhân dân,Thành phố Vĩnh Yên quyết liệt xử lý vi phạm pháp luật về đất đai.,"Trước tình trạng vi phạm pháp luật về đất đai, nhất là vi phạm trong việc chấp hành các quy định về sử dụng đất nông nghiệp, trong thời gian qua, UBND thành phố Vĩnh Yên (Vĩnh Phúc) đã chỉ đạo các xã, phường tăng cường công tác kiểm tra, nắm bắt tình hình, áp dụng nhiều biện pháp để giải quyết triệt để; Kiên quyết xử lý trách nhiệm của các tổ chức, cá nhân có liên quan do thiếu trách nhiệm để đất bị lấn chiếm, đất bị sử dụng không đúng mục đích, không đúng quy hoạch trên địa bàn mà không ngăn chặn, xử lý kịp thời."
11/12/2023,đất đai,"chính sách, quản lý",Thái Nguyên,4,Xây dựng,Thái Nguyên: Lên phương án cưỡng chế giải phóng mặt bằng Dự án xây dựng sân vận động tỉnh.,"ngày 9/12, UBND thành phố Thái Nguyên đã tổ chức họp thông qua phương án cưỡng chế thu hồi đất, đối với 3 hộ dân chưa bàn giao mặt bằng để thực hiện Dự án sân vận động Thái Nguyên."
11/12/2023,đất đai,"chính sách, quản lý",TP.HCM,4,"Pháp luật TP.HCM,","Người dân dỡ nhà, bàn giao mặt bằng cho dự án cầu Tăng Long, TP Thủ Đức.","hiện khu vực cầu Tăng Long, TP Thủ Đức (TP.HCM) đã bắt đầu có mặt bằng trống để chủ đầu tư có thể tái khởi động dự án này. Người dân khu vực dự án cầu Tăng Long đang tháo dỡ nhà cửa để bàn giao mặt bằng cho chủ đầu tư."
11/12/2023,đất đai,"chính sách, quản lý",Nghệ An,4,Xây dựng,"Hưng Nguyên (Nghệ An): Cưỡng chế thu hồi đất, bàn giao cho nhà đầu tư thực hiện Dự án VSIP","Sáng 8/12, UBND huyện Hưng Nguyên (Nghệ An) thực hiện cưỡng chế"
11/12/2023,đất đai,"kiến nghị, xử lý",Lạng Sơn,4,Pháp luật Plus,Kỷ luật Nguyên Giám đốc Sở TN&MT và Giám đốc Sở Giao thông vận tải tỉnh Lạng Sơn,"UB Kiểm tra Tỉnh ủy đã đề nghị Ban Thường vụ Tỉnh ủy, Ban Chấp hành Đảng bộ tỉnh Lạng Sơn xem xét, thi hành kỷ luật do vi phạm liên quan đến việc ký cho phép chuyển mục đích sử dụng đất không đúng quy định pháp luật"
11/12/2023,đất đai,"kiến nghị, xử lý",Khánh Hòa,4,Tiền phong,Hai cựu Chủ tịch Khánh Hòa lại hầu tòa vì sai phạm trong giao ‘đất vàng’ tại Nha Trang.,"sáng 11/12, TAND tỉnh Khánh Hòa đưa ra xét xử sơ thẩm đối với 4 bị cáo liên quan sai phạm tại dự án Nha Trang Golden Gate (số 28E Trần Phú, TP Nha Trang) về tội vi phạm quy định về quản lý, sử dụng tài sản nhà nước gây thất thoát, lãng phí, theo khoản 3 Điều 219 BLHS. Trong số các bị cáo bị xét xử có hai ông Nguyễn Chiến Thắng và Lê Đức Vinh (đều là cựu Chủ tịch UBND tỉnh Khánh Hòa)."
11/12/2023,đất đai,"kiến nghị, xử lý",Khánh Hòa,4,Thanh niên,"Giao 'đất vàng' trái luật, cựu lãnh đạo Khánh Hòa gây thất thoát gần 138 tỉ đồng.","sáng 11/12, TAND tỉnh Khánh Hòa đưa ra xét xử sơ thẩm đối với 4 bị cáo liên quan sai phạm tại dự án Nha Trang Golden Gate (số 28E Trần Phú, TP Nha Trang) về tội vi phạm quy định về quản lý, sử dụng tài sản nhà nước gây thất thoát, lãng phí, theo khoản 3 Điều 219 BLHS. Trong số các bị cáo bị xét xử có hai ông Nguyễn Chiến Thắng và Lê Đức Vinh (đều là cựu Chủ tịch UBND tỉnh Khánh Hòa)."
11/12/2023,đất đai,"thực trạng, sai phạm",Đồng Nai,2,VTV,Ngang nhiên chiếm dụng đất dự án sân bay quốc tế Long Thành.,"gần 100ha đất đã được thu hồi, đền bù để xây dựng dự án sân bay quốc tế Long Thành, tại tỉnh Đồng Nai đang bị một số đối tượng chiếm dụng để trồng khoai mì. Ông Võ Đức Toàn, Chủ tịch UBND xã Bình Sơn, huyện Long Thành, tỉnh Đồng Nai cho biết, việc người dân tái chiếm đất dự án trồng khoai mì là không đúng. Qua làm việc, cơ quan chức năng xác định do người dân thiếu hiểu biết. UBND xã sẽ tiếp tục mời các hộ dân lên làm việc cụ thể, đồng thời báo cáo UBND huyện Long Thành để có biện pháp xử lý phù hợp."
11/12/2023,đất đai,"kiến nghị, xử lý",Đồng Nai,4,Tin tức,Yêu cầu trả lại hiện trạng đất bị lấn chiếm tại sân bay Long Thành.,"ngày 9/12, ông Lê Văn Tiếp, Chủ tịch Ủy ban nhân dân huyện Long Thành (tỉnh Đồng Nai) cho biết, UBND huyện Long Thành đã giao cơ quan Công an và UBND xã Bình Sơn (huyện Long Thành) xử lý vụ việc"
11/12/2023,đất đai,"thực trạng, sai phạm",Hải Dương,2,Thanh niên,Bao giờ cưỡng chế vi phạm quản lý đất đai tại Bệnh viện Y học cổ truyền Hải Dương?,"hàng nghìn mét vuông đất được UBND tỉnh Hải Dương giao cho Bệnh viện Y học cổ truyền Hải Dương quản lý, sử dụng đã bị đơn vị này cắt, giao cho nhiều tổ chức, cá nhân thuê, không liên quan đến lĩnh vực y tế, trái với quy định của nhà nước về quản lý đất đai. Sở TN-MT tỉnh Hải Dương cho biết, tổng diện tích các công trình vi phạm nêu trên khoảng hơn 4.000 m2 chưa được thực hiện thủ tục chuyển mục đích sử dụng theo quy định của pháp luật.UBND TP.Hải Dương đã yêu cầu Công ty Đại Sơn tự nguyện di chuyển tài sản và tháo dỡ công trình trên diện tích đất vi phạm trước ngày 15.12. Sau ngày 15.12, nếu vi phạm vẫn diễn ra, UBND TP.Hải Dương sẽ thực hiện cưỡng chế theo quy định."
11/12/2023,đất đai,"kiến nghị, xử lý",Đắk Lắk,4,VietNamNet,"Sai phạm nhiều năm chưa khắc phục, Buôn Ma Thuột cấp tốc lấy ý kiến.","năm 2018, Thanh tra tỉnh Đắk Lắk đã chỉ ra nhiều sai phạm trong quá trình thu hồi đất để xây dựng Bệnh viện Đa khoa (BVĐK) vùng Tây Nguyên. Vậy nhưng, đến đầu tháng 12 vừa qua, UBND thành phố Buôn Ma Thuột (Đắk Lắk) vừa có văn bản gửi các cá nhân, tổ chức để lấy ý kiến sửa sai trong đền bù đất tại dự án Bệnh viện Đa khoa vùng Tây Nguyên."
