Thoigian,Linh_vuc,Chuyen_muc,Dia_diem,Muc_do,Nguon_tin,Tin_bai,Link_tin_bai,Tom_tat_noi_dung,Muc_do_ten,Noi_dung_tin_bai,
29/12/2023,môi trường,"chính sách, quản lý",Thừa Thiên - Huế,4,Môi trường & Đô thị,Ra mắt điểm đến du lịch giảm rác thải nhựa đầu tiên tại TP. Huế.,https://www.moitruongvadothi.vn/ra-mat-diem-den-du-lich-giam-rac-thai-nhua-dau-tien-tai-tp-hue-a151305.html,"Tại lễ ra mắt, 16 cơ sở cộng đồng đã tham gia và quyết tâm triển khai các giải pháp giảm nhựa tại Thủy Biều.",Trung tính,Theo dõi MTĐT trên Ông Trần Quang Hào Giám đốc Huetourist đại diện Ban tổ chức cho biết Thủy Biều phường Thủy Biều TP Huế là một ngôi làng cổ nằm cách trung tâm thành phố khoảng 5 km Nét đặc biệt ở đây là khung cảnh mộc mạc giản dị chưa được bê tông hóa quá nhiều đường sá nên vẫn còn lưu giữ được nhiều hình ảnh quen thuộc của làng quê Việt Nam xưa Đầu năm 2019 UBND tỉnh Thừa Thiên Huế đã ban hành quyết định công nhận điểm du lịch Nhà vườn Lương Quán Nguyệt Biều phường Thủy Biều Tại lễ ra mắt 16 cơ sở cộng đồng đã tham gia và quyết tâm triển khai các giải pháp giảm nhựa tại Thủy Biều Cụ thể Khuyến khích du khách mang theo đồ dùng cá nhân những du khách không mang theo bình nước cá nhân sẽ được cấp phát bình nước và làm đầy tại các điểm trải nghiệm trong suốt hành trình Ngoài ra trên xe đạp cũng được bố trí áo mưa dù tất cả đồ dùng đều được thu hồi vào cuối chuyến đi Đối với chương trình tour có trải nghiệm lớp nấu ăn túi đi chợ và hộp đựng thực phẩm được bố trí để du khách có thể đi chợ không sử dụng túi ni lông Thay thế nước uống đóng chai nhựa đặt phòng bằng chai thuỷ tinh làm đầy Bố trí 5 điểm refill nước miễn phí cho du khách Tăng cường hệ thống thùng rác để du khách thải bỏ rác đúng nơi quy định và tiện cho việc thu gom Hệ thống các bảng biểu nhận diện điểm làm đầy nước bảng thông tin tuyên truyền cũng như những cơ sở tiên phong tham gia điểm đến du lịch giảm thiểu rác thải nhựa cũng được lắp đặt Ngoài ra lắp đặt 2 ngôi nhà xanh tại khu vực bến thuyền đón khách và tại trục giao thông chính của điểm đến Thuỷ Biều để du khách có thể bỏ những loại rác tái chế đúng nơi Các hoạt động truyền thông cho mô hình điểm đến giảm rác thải nhựa cũng được tích cực triển khai,1692
21/12/2023,nước,"thực trạng, sai phạm",toàn quốc,4,VTV,Vì sao lưu vực sông Nhuệ Đáy ô nhiễm nghiêm trọng? ,https://vtv.vn/xa-hoi/vi-sao-luu-vuc-song-nhue-day-o-nhiem-nghiem-trong-20231220200107755.htm,một trong những nguyên nhân gây ô nhiễm lưu vực sông Nhuệ Đáy là do nước thải từ các làng nghề sản xuất ven sông không được xử lý triệt để vẫn xả thẳng ra môi trường,Trung tính,Tình trạng ô nhiễm lưu vực sông Nhuệ Đáy đã đến mức báo động Nhiều thời điểm đây còn được gọi là dòng sông chết khi mực nước sông Nhuệ cao hơn sông Hồng 1 2m nên không thể lấy nước rửa trôi Tại thôn Hoà Hợp xã Dương Liễu huyện Hoài Đức Hà Nội làng nghề chế biến tinh bột sắn sau khi sắn được nghiền và lấy hết tinh bột một phần bã thừa không được người dân thu gom hết chảy thẳng xuống hệ thống kênh mương Phần bã sắn được người dân ngâm ủ thủ công bốc lên một mùi cực kỳ khó chịu Theo người dân địa phương hầu hết các cơ sở sản xuất đều không có giấy phép hoạt động và không có giấy xác nhận bảo vệ môi trường Tình trạng ô nhiễm lưu vực sông Nhuệ Đáy đã đến mức báo động Nhà máy xử lý nước thải Cầu Ngà đã đi vào vận hành tại xã Dương Liễu nhưng chỉ xử lý thu gom được một phần nước thải Các thôn ngoài đê nằm sát với sông Đáy như thôn Hoà Hợp hiện vẫn chưa có hệ thống thu gom Nước thải gây ô nhiễm mỗi ngày thẩm thấu xuống dòng sông Đáy Theo lãnh đạo Phòng Tài nguyên và Môi trường huyện Hoài Đức các cuộc thanh kiểm tra được tiến hành thường xuyên Nhưng con số bị xử phạt hành chính vi phạm môi trường lại rất ít so với thực tế Ô nhiễm làng nghề nhiều năm nay vẫn là câu chuyện khó giải quyết giữa hài hoà lợi ích kinh tế và môi trường Nhưng nhìn dòng sông Đáy nơi chảy qua làng nghề này đang bị ô nhiễm nghiêm trọng từng giờ từng ngày rất cần những giải pháp quyết liệt của các địa phương để chung tay cứu lấy dòng sông này VTV vn Ngoài ô nhiễm hệ thống thủy lợi Bắc Hưng Hải còn đối mặt tình trạng hạn hán thiếu nước khiến hàng ngàn ha lúa của bà con đối mặt nguy cơ khô hạn chết cháy Mời quý độc giả theo dõi các chương trình đã phát sóng của Đài Truyền hình Việt Nam trên TV Online và VTVGo,1698
8/12/2023,môi trường,"thực trạng, sai phạm",Miền Bắc,2,Dân trí,"Miền Bắc sương mù, ô nhiễm không khí trở lại. ",https://dantri.com.vn/xa-hoi/mien-bac-suong-mu-o-nhiem-khong-khi-tro-lai-20231207232243424.htm,Hà Nội có thể ô nhiễm không khí trở lại.,Tiêu cực,Trung tâm Dự báo Khí tượng Thủy văn Quốc gia cho biết ngày 8 12 thời tiết miền Bắc duy trì tình trạng sương mù vào sáng sớm nền nhiệt giảm sâu với mức thấp nhất 15 18 độ C Ban ngày nhiệt độ tăng mạnh lên ngưỡng 25 27 độ C trời nắng Với mức chênh lệch nhiệt độ lớn giữa ngày và đêm lên tới 10 độ C kèm theo hiện tượng sương mù ô nhiễm không khí có thể quay trở lại nhiều nơi đặc biệt là Hà Nội Đồng thời người dân được khuyến cáo mang theo trang phục phù hợp khi di chuyển bên ngoài bởi buổi sáng trời rét nhưng sẽ ấm lên nhanh chóng vào trưa và chiều Hiện tượng sương mù tái diễn tại Hà Nội kèm theo nghịch nhiệt khiến các chất bụi bẩn khó khuếch tán Ảnh Dung Trần Dự báo thời tiết ngày 8 12 tại các vùng trên cả nước Hà Nội Nhiều mây ngày nắng Đêm và sáng trời rét Nhiệt độ thấp nhất 15 18 độ C cao nhất 25 27 độ C Phía Tây Bắc Bộ Nhiều mây đêm mưa nhỏ vài nơi ngày nắng gió nhẹ Trời rét Nhiệt độ thấp nhất 14 17 độ C có nơi dưới 13 độ C cao nhất 24 27 độ C Phía Đông Bắc Bộ Đêm không mưa ngày nắng Gió đông bắc cấp 2 3 Nhiệt độ thấp nhất 15 18 độ C vùng núi có nơi dưới 12 15 độ C cao nhất 24 27 độ C Từ Thanh Hóa đến Thừa Thiên Huế Phía bắc đêm và sáng sương mù nhẹ rải rác ngày nắng Phía nam mưa vài nơi trưa chiều trời nắng Gió bắc đến tây bắc cấp 2 3 Nhiệt độ thấp nhất 15 18 độ C cao nhất 24 27 độ C Từ Đà Nẵng đến Bình Thuận Phía bắc đêm mưa rào và dông rải rác phía nam ngày nắng Gió đông bắc cấp 2 3 Nhiệt độ thấp nhất 22 25 độ C cao nhất 26 29 độ C Tây Nguyên Có mây mưa rào và dông vài nơi ngày nắng Gió đông bắc cấp 2 3 Nhiệt độ thấp nhất 18 21 độ C cao nhất 27 30 độ C Nam Bộ Có mây mưa rào và dông vài nơi ngày nắng Gió đông bắc cấp 2 3 Nhiệt độ thấp nhất 23 26 độ C cao nhất 30 33 độ C,1701
20/12/2023,môi trường,"thực trạng, sai phạm",(Khánh Hòa,2,Sài Gòn Giải phóng ,Trạm xử lý nước gây ô nhiễm nguồn nước?.,https://www.sggp.org.vn/tram-xu-ly-nuoc-gay-o-nhiem-nguon-nuoc-post719105.html,"phản ánh của người dân xã Vĩnh Lương, TP Nha Trang (Khánh Hòa) về tình trạng ô nhiễm nguồn nước do nước thải từ Trạm xử lý nước rỉ rác Lương Hòa",Tiêu cực,Có mặt tại khu vực suối phía dưới hồ điều hòa của Trạm xử lý nước rỉ rác Lương Hòa phóng viên ghi nhận dòng nước đen đục bốc mùi hôi nồng nặc Theo người dân xã Vĩnh Lương cứ mỗi khi mưa lớn Trạm xử lý nước rỉ rác Lương Hòa lại xả nước thải ra ngoài Mưa càng lớn nước thải chảy ra càng nhiều Đặc biệt tại khu vực lân cận Trạm xử lý nước nguồn nước ngầm cũng bị ô nhiễm không sử dụng được Người dân phải mua nước bình để sử dụng Dẫn chúng tôi ra mương nước cạnh nhà ông Đỗ Tuấn Hoành trú xã Vĩnh Lương cho biết mương nước này chảy vào trung tâm xã Vĩnh Lương ảnh hưởng đến rất nhiều hộ dân Mùa mưa nước bẩn pha với nước lũ tràn vào nhà dân còn mùa nắng thì bốc mùi hôi nồng nặc khiến người dân vô cùng bức xúc Không chỉ mương nước bị ô nhiễm cũng theo ông Hoành từ khi Trạm xử lý nước rỉ rác Lương Hòa đi vào hoạt động nguồn nước ngầm tại khu vực cũng bị ảnh hưởng Trước đây khi chưa có Trạm xử lý nước rỉ rác Lương Hòa nước giếng của tôi rất sạch Nhưng những năm gần đây nước có mùi không sử dụng được Hiện giếng nước chỉ phục vụ sinh hoạt tắm giặt ăn uống phải sử dụng nước bình rất tốn kém Không chỉ vậy trẻ em ở khu vực tắm nước giếng cũng liên tục bị các bệnh về da Bà con rất bức xúc kiến nghị chính quyền địa phương nhiều lần nhưng chưa được giải quyết dứt điểm ông Hoành bức xúc Theo tìm hiểu sau khi bãi rác Rù Rì cũ xã Vĩnh Lương đóng cửa ngành chức năng đã nâng cấp khu vực này thành bãi chôn lấp rác sinh hoạt và đầu tư Trạm xử lý nước rỉ rác Lương Hòa Hàng ngày rác thải của TP Nha Trang đưa về đây với khối lượng trung bình 450 500 tấn ngày để xử lý Thời gian qua người dân xã Vĩnh Lương đã nhiều lần phản ánh đến chính quyền địa phương về tình trạng ô nhiễm môi trường nhưng chưa xử lý dứt điểm,1707
7/12/2023,Khí tượng thủy văn - Biến đổi khí hậu,"thực trạng, sai phạm",TP.HCM và Tiền Giang,2,"VietNamPlus, ","Liên tiếp phát hiện các vụ vận chuyển, khai thác cát trái phép",https://www.vietnamplus.vn/lien-tiep-phat-hien-cac-vu-van-chuyen-khai-thac-cat-trai-phep-post911961.vnp,"Bộ Tư lệnh Vùng Cảnh sát Biển 3 liên tiếp phát hiện 2 vụ vận chuyển cát không có nguồn gốc, hút cát trái phép tại vùng biển giáp ranh TP.HCM và Tiền Giang",Tiêu cực,Bộ Tư lệnh Vùng Cảnh sát Biển 3 trụ sở đóng tại thành phố Vũng Tàu tỉnh Bà Rịa Vũng Tàu cho biết sáng 6 12 lực lượng chức năng thuộc Bộ Tư lệnh Vùng đã dẫn giải tàu số hiệu HP 4251 vận chuyển khoảng 100m3 cát không rõ nguồn gốc về tới cảng Hải đội 301 thành phố Vũng Tàu để tiếp tục điều tra xử lý theo quy định của pháp luật Đây là vụ vận chuyển cát không có nguồn gốc hút cát trái phép thứ hai liên tiếp trong hai ngày qua tại vùng biển giáp ranh Thành phố Hồ Chí Minh và Tiền Giang bị lực lượng Cảnh sát Biển phát hiện bắt giữ Cụ thể khoảng 5 giờ 30 phút ngày 5 12 trên khu vực biển giáp ranh giữa Thành Phố Hồ Chí Minh và tỉnh Tiền Giang lực lượng chức năng Bộ Tư lệnh Vùng Cảnh sát Biển 3 phát hiện tàu mang số hiệu HP 4251 có biểu hiện nghi vấn nên tiến hành kiểm tra Tại thời điểm kiểm tra tàu BTr 7688 vẫn đang tiến hành hút cát từ dưới biển Thuyền trưởng Nguyễn Vũ Linh thừa nhận tàu đã hút được khoảng 80m3 cát nhưng không xuất trình được các loại giấy tờ Tại thời điểm kiểm tra trên tàu có 8 thuyền viên do ông Trần Ngọc Sơn sinh năm 1973 trú quán tại phường Ngọc Châu thành phố Hải Dương tỉnh Hải Dương làm thuyền trưởng Theo lời khai ban đầu của ông Sơn trên tàu đang chở khoảng hơn 100m3 cát nhiễm mặn nhưng không có giấy tờ chứng minh tính hợp pháp của hàng hóa theo quy định của pháp luật Trước đó vào khoảng 10 giờ 30 phút ngày 4 12 cũng tại vùng biển trên lực lượng chức năng Bộ Tư lệnh Vùng Cảnh sát Biển 3 phát hiện tàu BTr 7688 do ông Nguyễn Vũ Linh sinh năm 1994 quê quán Hưng Lễ huyện Giồng Trôm tỉnh Bến Tre làm thuyền trưởng trên tàu có 4 người đang có hành vi hút 80m3 cát từ dưới biển lên tàu nhưng không xuất trình được các loại giấy tờ về việc được phép khai thác cát tại khu vực này,1712
18/12/2023,đất đai,"thực trạng, sai phạm",Đắk Nông,2,Pháp luật TP.HCM ,Hàng ngàn m2 đất rừng bị mất do bạt đồi khai thác đất trái phép.,https://plo.vn/hang-ngan-m2-dat-rung-bi-mat-do-bat-doi-khai-thac-dat-trai-phep-post767004.html,"Chi cục Kiểm lâm huyện Đắk Song đang xác định diện tích đất rừng bị thiệt hại do khai thác đất trái phép ở thôn 1, xã Nâm N’jang, huyện Đắk Song",Tiêu cực,Ngày 16 12 Chi cục Kiểm lâm huyện Đắk Song Đắk Nông cho biết cơ quan này đang xác định diện tích đất rừng bị thiệt hại do khai thác đất trái phép ở thôn 1 xã Nâm N jang huyện Đắk Song Theo một cán bộ Chi cục Kiểm lâm huyện Đắk Song khu vực khai thác đất trái phép do PV Pháp Luật TP HCM cung cấp có hai vị trí Vị trí thứ nhất có diện tích gần 10 000 m2 trong đó có 2 400 m2 đất rừng Vị trí còn lại khoảng 1 600m2 đã được đưa ra ngoài quy hoạch ba loại rừng và nằm trong kế hoạch sử dụng đất của huyện Đắk Song Cũng theo vị cán bộ trên con số đo đạc này chỉ là tương đối cần phải bắn tọa độ từng vị trí mới xác định chính xác Theo cơ quan chức năng phần đất rừng bị khai thác có nguồn gốc được chính quyền địa phương giao đất giao rừng cho một nhóm hộ gia đình do ông Lê Thanh Hương làm nhóm trưởng Theo một nguồn tin khác nếu chiếu theo quyết định của UBND tỉnh Đắk Nông thì phần diện tích đất rừng ở thôn 10 xã Nâm N jang đã bị khai thác hơn 7 200 m2 Như PLO đã phản ánh ngày 7 12 PV báo Pháp Luật TP HCM phát hiện dấu hiệu khai thác đất trái phép ở xã Nâm N jang gần khu vực rừng phòng hộ và quốc lộ 14 Sau khi tiếp nhận phản ánh từ PV lãnh đạo đạo Phòng TN MT huyện Đắk Song cùng PV đến ghi nhận thực tế Từ phản ánh của PV UBND xã Nâm N Jang lập biên bản vi phạm hành chính đồng thời yêu cầu người dân dừng khai thác Ghi nhận của PV cho thấy gần khu đất đang múc xuất hiện rất nhiều quặng bô xít Ngày 8 12 UBND xã Nâm N jang ban hành hai quyết định xử phạt vi phạm hành chính đối với ông Nguyễn Văn Hiệp và ông Lưu Mạnh Khiêm cùng ngụ xã Nâm N Jang mỗi người 3 5 triệu đồng về hành vi hủy hoại đất UBND xã Nâm N jang yêu cầu hai người trên trong 10 ngày phải khôi phục tình trạng ban đầu của đất trước khi vi phạm,1716
11/12/2023,đất đai,"chính sách, quản lý",Bình Dương,4,Dân trí,Chủ tịch Bình Dương: Muôn vàn lý do khiến nhiều dự án không ra được sổ cho dân.,https://dantri.com.vn/xa-hoi/muon-van-ly-do-khien-nhieu-du-an-khong-ra-duoc-so-cho-dan-20231208130149040.htm,"sáng 8/12, HĐND tỉnh Bình Dương khóa X, nhiệm kỳ 2021-2026 tiếp tục diễn ra phiên chất vấn, trả lời chất vấn và bế mạc kỳ họp thứ 13, kỳ họp thường lệ cuối năm 2023. Theo Chủ tịch UBND tỉnh Bình Dương, nhà đầu tư có sổ nhưng đã thế chấp ngân hàng không mang ra để cấp sổ; nhà đầu tư không có sổ là do chưa bồi thường xong sẽ không ra được sổ...",Trung tính,Sáng 8 12 HĐND tỉnh Bình Dương khóa X nhiệm kỳ 2021 2026 tiếp tục diễn ra phiên chất vấn trả lời chất vấn và bế mạc kỳ họp thứ 13 kỳ họp thường lệ cuối năm 2023 Ông Võ Văn Minh Chủ tịch UBND tỉnh Bình Dương đã trả lời những vấn đề liên quan đến việc chậm trễ cấp giấy chứng nhận quyền sử dụng đất quyền sở hữu nhà ở và tài sản gắn liền với đất tại các dự án trên địa bàn mà cử tri quan tâm Ông Võ Văn Minh Chủ tịch UBND tỉnh Bình Dương Ảnh BTV Theo ông Minh hầu hết các dự án chưa ra được sổ cho dân là khu dân cư cũ Theo luật trước đây do không chặt chẽ về pháp lý nhà đầu tư bán lúa non thông qua hợp đồng hợp tác kinh doanh hợp đồng giữ chỗ đặt cọc Dù người dân có đặt cọc 90 95 cũng không ra sổ được Nguyên nhân là do nhà đầu tư có sổ nhưng đã thế chấp ngân hàng không mang ra để cấp sổ nhà đầu tư không có sổ là do chưa bồi thường xong sẽ không ra được sổ Ngoài ra nhà đầu tư đã có sổ rồi nhưng hạ tầng cũng chưa hoàn thiện để nghiệm thu cũng không ra được sổ cho dân Có muôn vàn lý do khiến nhiều dự án không ra được sổ cho người dân ông Minh nói Dự án Khu đô thị sinh thái Chánh Mỹ chậm triển khai được ngành chức năng ở Bình Dương hỗ trợ bàn giải pháp gỡ khó cho doanh nghiệp Ảnh Phạm Diện Đã có khoảng 32 dự án liên quan đến những vấn đề trên Đích thân Bí thư Tỉnh ủy đã họp với các ban ngành để lên kế hoạch chỉ đạo tháo gỡ khó khăn từng phần từng dự án Trước đó UBND tỉnh đã thành lập 5 dự án để thanh tra kiến nghị Có dự án cho gia hạn hỗ trợ để triển khai làm tiếp có dự án thu hồi chấm dứt để chỉnh trang có trường hợp chấm dứt để đấu thầu lại có trường hợp đã chuyển cơ quan điều tra Làm sao để hạn chế thiệt hại cho người dân hỗ trợ doanh nghiệp Tỉnh đang làm hết sức để các dự án triển khai tốt ông Minh chia sẻ,1728
20/12/2023,môi trường,"chính sách, quản lý",TP.HCM ,4,"Một Thế giới, Tuổi trẻ ",*Giá dịch vụ thoát nước và xử lý nước thải tăng thêm 5% từ ngày 1.1.2024,https://1thegioi.vn/gia-dich-vu-thoat-nuoc-va-xu-ly-nuoc-thai-tang-them-5-tu-ngay-1-1-2024-212091.html,"từ ngày 1.1.2024, giá dịch vụ thoát nước và xử lý nước thải tại TP.HCM sẽ tăng 5% so với hiện nay.",Trung tính,Bắt đầu từ ngày 1 1 2024 giá dịch vụ thoát nước và xử lý nước thải tại TP HCM sẽ tăng 5 so với hiện nay Việc tăng giá dịch vụ này là thực hiện theo lộ trình giai đoạn 2022 2025 mỗi năm thêm 5 Ngày 1 6 2021 UBND TP HCM đã ban hành Quyết định số 17 2021 QĐ UBND về giá dịch vụ thoát nước và xử lý nước thải trên địa bàn TP HCM giai đoạn 2022 2025 Theo đó lộ trình thu tiền thoát nước và xử lý nước thải tính trên giá nước cấp được UBND TP HCM quy định như sau bắt đầu từ năm 2022 là 15 năm 2023 là 20 năm 2024 là 25 và năm 2025 là 30 Như vậy từ ngày 1 1 2024 dịch vụ thoát nước và xử lý nước thải tại TP HCM sẽ tăng thêm 5 so với năm 2023 Khoản tiền trên được UBND TP HCM giao Tổng công ty Cấp nước Sài Gòn SAWACO thu hộ Đại diện SAWACO cho biết số tiền thu hộ căn cứ khối lượng nước sạch tiêu thụ hằng tháng mức giá dịch vụ thoát nước và xử lý nước thải theo quy định và nộp vào ngân sách Nhà nước để sử dụng cho các mục đích đầu tư duy trì phát triển hệ thống thoát nước Giá dịch vụ thoát nước và xử lý nước thải có thuế suất thuế GTGT là 10 Tuy nhiên theo Nghị quyết 110 2023 QH15 Kỳ họp thứ 6 Quốc hội khóa 15 ngày 29 11 2023 về giảm 2 thuế giá trị gia tăng nên mức thuế VAT trong 6 tháng đầu năm 2024 là 8 và 6 tháng cuối năm 2024 là 10 Hiện nay về giá nước sạch tại TP HCM theo định mức thấp nhất cho hộ gia đình sử dụng 4m3 mỗi người mỗi tháng là 6 700 đồng m3 định mức 4 6m3 là 12 900 đồng m3 từ 6m3 trở lên là 14 900 đồng m3 Cơ quan hành chính sự nghiệp đoàn thể giá 13 000 đồng m3 đơn vị sản xuất giá 12 100 đồng m3 đơn vị kinh doanh dịch vụ giá 21 300 đồng m3 Bình luận của bạn đã được gửi và sẽ hiển thị sau khi được duyệt bởi ban biên tập Ban biên tập giữ quyền biên tập nội dung bình luận để phù hợp với qui định nội dung của Báo,1741
5/12/2023,địa chất - khoáng sản,"thực trạng, sai phạm",Quảng Ninh,2,Công Thương ,"Quảng Ninh: Tự ý đắp bờ, ngăn suối để khai thác loại khoảng sản lạ",https://congthuong.vn/quang-ninh-tu-y-dap-bo-ngan-suoi-de-khai-thac-loai-khoang-san-la-289823.html,"ở phường Mông Dương, TP. Cẩm Phả, tỉnh Quảng Ninh: Tự ý đắp bờ, ngăn suối để khai thác loại khoảng sản lạ lạ có màu đen",Tiêu cực,UBND phường Mông Dương TP Cẩm Phả tỉnh Quảng Ninh vừa có Thông báo số 97 TB UBND yêu cầu ông Lê Văn Nam trú tại tổ 4 khu 13 phường Mông Dương tiến hành tháo dỡ bờ bao di dời đường ống tại dòng suối Thái Bình thuộc tổ 4 khu 13 phường Mông Dương Trước đó vào giữa tháng 10 2023 từ thông tin người dân phản ánh nhóm phóng viên Báo Công Thương đã có mặt tại địa chỉ trên để ghi nhận thực tế Thời điểm này tại khu suối có một số máy móc và công nhân đang tiến hành hút thứ nước màu đen từ suối lên bể lắng Theo quan sát dòng nước hút lên đen kịt trên mặt đất là cát lẫn với vật chất màu đen xám chưa rõ là khoáng sản gì Từ phản ánh của người dân ngày 17 11 UBND phường Mông Dương đã tổ chức kiểm tra và lập biên bản sự việc Biên bản kiểm tra ghi nhận khu vực này có bao chắn ngang dòng suối có chiều dài khoảng 10m vật liệu sử dụng là đá hộc có móng xây bằng gạch xi măng Qua xác minh xác định ông Lê Văn Nam trú tại tổ 4 khu 13 phường Mông Dương là người trông coi tại vị trí này Ông Lê Văn Nam cho biết bờ kè trên và phần móng trên là do ông Trần Văn Đông xây dựng và đắp bờ bao từ năm 2016 để tận thu phần cát trên suối Sau đó UBND phường Mông Dương đã tiến hành lập biên bản vi phạm hành chính và ngày 18 11 đã quyết định xử phạt ông Lê Văn Nam số tiền 3 triệu đồng Mới đây UBND phường Mông Dương có Thông báo số 97 TB UBND yêu cầu ông Lê Văn Nam dừng ngay hoạt động đắp bờ bao và đặt đường ống tại dòng suối Thái Bình tại tổ 4 khu 14 phường Mông Dương di dời vật liệu phương tiện máy hút phục vụ việc đắp bờ bao đặt đường ống ra khỏi dòng suối Thái Bình chưa được cơ quan nhà nước có thẩm quyền cho phép Đồng thời UBND phường Mông Dương cũng yêu cầu ông Lê Văn Nam phá dỡ bờ bao chắn ngang dòng suối khôi phục lại hiện trạng ban đầu dòng suối,1742
22/12/2023,địa chất - khoáng sản,"thực trạng, sai phạm",Bình Thuận ,2,"Pháp luật Việt Nam, Dân Việt,Công an nhân dân ",Khởi tố 13 đối tượng khai thác vàng trái phép.,https://baophapluat.vn/khoi-to-13-doi-tuong-khai-thac-vang-trai-phep-post499615.html,"Cơ quan Cảnh sát điều tra Công an huyện Bắc Bình, Bình Thuận đã tống đạt quyết định Khởi tố 13 đối tượng khai thác vàng trái phép",Tiêu cực,Theo đó Cơ quan Cảnh sát điều tra Công an huyện Bắc Bình đã ra Quyết định khởi tố 04 vụ án hình sự khởi tố 13 bị can ra Lệnh tạm giam 10 bị can Lệnh bắt tạm giam 02 bị can Lệnh cấm đi khỏi nơi cư trú 01 bị can về các hành vi Vi phạm quy định về khai thác tài nguyên và Mua bán tàng trữ sử dụng trái phép chất độc xảy ra tại xã Phan Sơn huyện Bắc Bình tỉnh Bình Thuận Theo hồ sơ lực lượng chức năng thu thập được kết luận giám định thể hiện các mẫu vật thu giữ tại hiện trường nơi xảy ra hành vi vi phạm của các đối tượng có thành phần là khoáng sản kim loại vàng đồng thời có chứa thành phần là chất độc gồm thuỷ ngân Xút Natri Hydroxide Axit Nitric Lực lượng chức năng tống đạt các quyết định khởi tố đối với các bị can Ban chuyên án xác định đây là chuyên án rất phức tạp phải huy động nhiều lực lượng cùng tham gia trực tiếp chỉ đạo án là Đại tá Lê Quang Nhân Giám đốc Công an tỉnh cùng Đại tá Đinh Kim Lập Thủ trưởng cơ quan cảnh sát điều tra Phó Giám đốc Công an tỉnh Trước đó vào lúc 03 giờ 15 phút ngày 09 12 2023 Công an tỉnh Bình Thuận huy động 150 cán bộ chiến sĩ phối hợp với lực lượng chức năng đồng loạt kiểm tra bắt quả tang 28 đối tượng đang có hành vi phân loại tuyển rửa thu hồi kim loại nặng khai thác khoáng sản trái phép quy mô lớn tại khu vực Ngách Đào Giữa thuộc thôn Tà Mon xã Phan Sơn huyện Bắc Bình nằm trong rừng sâu các lực lượng phải đi bộ lội rừng hàng kilomet mới tới địa điểm khai thác trái phép Đại tá Lê Quang Nhân Giám đốc Công an tỉnh chỉ đạo án phá án Tại hiện trường Công an tỉnh thu giữ nhiều máy móc và phương tiện liên quan gồm xe múc xe máy cày máy xay đá máy bơm 02 xe bán tải đồng thời thu giữ nhiều mẫu vật kim loại màu vàng và một lượng lớn hóa chất độc hại phục vụ cho việc tuyển rửa kim loại nặng,1743
4/12/2023,đất đai,"chính sách, quản lý",toàn quốc,4,TN&MT).,"Bộ TN&MT ban hành Văn bản hợp nhất Thông tư quy định về việc lập phương án sử dụng đất, cấp GCN công ty nông, lâm nghiệp.",https://baotainguyenmoitruong.vn/bo-tn-mt-ban-hanh-van-ban-hop-nhat-thong-tu-quy-dinh-ve-viec-lap-phuong-an-su-dung-dat-cap-gcn-cong-ty-nong-lam-nghiep-366470.html,"Bộ TN&MT vừa ban hành Văn bản hợp nhất số 11/VBHN-BTNMT về Thông tư quy định việc lập phương án sử dụng đất; lập hồ sơ ranh giới sử dụng đất; đo đạc, lập bản đồ địa chính; xác định giá thuê đất; giao đất, cho thuê đất và cấp giấy chứng nhận quyền sử dụng đất, quyền sở hữu nhà ở và tài sản khác gắn liền với đất đối với công ty nông, lâm nghiệp ",Trung tính,Bộ TN MT vừa ban hành Văn bản hợp nhất số 11 VBHN BTNMT về Thông tư quy định việc lập phương án sử dụng đất lập hồ sơ ranh giới sử dụng đất đo đạc lập bản đồ địa chính xác định giá thuê đất giao đất cho thuê đất và cấp giấy chứng nhận quyền sử dụng đất quyền sở hữu nhà ở và tài sản khác gắn liền với đất đối với công ty nông lâm nghiệp Cụ thể Thông tư số 07 2015 TT BTNMT ngày 26 2 năm 2015 của Bộ trưởng Bộ Tài nguyên và Môi trường quy định việc lập phương án sử dụng đất lập hồ sơ ranh giới sử dụng đất đo đạc lập bản đồ địa chính xác định giá thuê đất giao đất cho thuê đất và cấp giấy chứng nhận quyền sử dụng đất quyền sở hữu nhà ở và tài sản khác gắn liền với đất đối với công ty nông lâm nghiệp có hiệu lực thi hành kể từ ngày 15 tháng 4 năm 2015 được sửa đổi bổ sung bởi các Thông tư gồm Thông tư số 09 2021 TT BTNMT ngày 30 6 2021 của Bộ trưởng Bộ Tài nguyên và Môi trường sửa đổi bổ sung một số điều của các thông tư quy định chi tiết và hướng dẫn thi hành Luật Đất đai Thông tư số 11 2022 TT BTNMT ngày 20 10 2022 của Bộ trưởng Bộ Tài nguyên và Môi trường sửa đổi bổ sung một số điều của một số thông tư liên quan đến hoạt động kinh doanh thuộc phạm vi chức năng quản lý nhà nước của Bộ Tài nguyên và Môi trường Về phạm vi điều chỉnh Thông tư này quy định việc lập phương án sử dụng đất lập hồ sơ ranh giới sử dụng đất đo đạc lập bản đồ địa chính xác định giá thuê đất giao đất cho thuê đất và cấp Giấy chứng nhận quyền sử dụng đất quyền sở hữu nhà ở và tài sản khác gắn liền với đất đối với các công ty thực hiện sắp xếp đổi mới tổ chức cơ chế quản lý và chính sách theo quy định tại Nghị định số 118 2014 NĐ CP ngày 17 12 2014 của Chính phủ về sắp xếp đổi mới và phát triển nâng cao hiệu quả hoạt động của công ty nông lâm nghiệp,1743
